id,sea_skill,tp_skill
TGS-2018505075,"['Cleaning And Sterilising', 'Washroom Maintenance']",['Washroom Maintenance']
TGS-2018505076,"['Customer Management', 'Customer Service Delivery', 'Communication']",['Customer Management']
TGS-2018505077,"['Cleaning And Sterilising', 'Horizontal Surface Maintenance']",['Horizontal Surface Maintenance']
TGS-2018505078,"['Customer Experience Management', 'Communication']",['Service Excellence']
TGS-2018507539,"['Communication', 'Decision Making']",[nan]
TGS-2018507540,"['Interviewing', 'Communication']",[nan]
TGS-2018507544,['Communication'],[nan]
TGS-2018507627,['Communication'],"[nan, 'Attractions Guest Relations Management', 'Vendor Management', 'Events Planning And Management', 'Budgeting', 'Customer Behaviour Analysis', 'Contract Development And Management', 'Tourism And Economic Development', 'Resource Management', 'Service Excellence', 'Productivity Improvement', 'Attractions Membership, Admission And Ticketing Management', 'Crowd Control And Planning', 'Stakeholder Management', 'Technology Application', 'Business Continuity Planning', 'Business Performance Management', 'Delegates And Participants Management', 'Risk Management And Administration', 'Market Research', 'Tour Leading Operations', 'Data Mining And Modelling', 'Project Feasibility Assessment', 'Sales Closure', 'Product, Content And Experience Performance Management', 'Project Management', 'Workplace Safety And Health Performance Management', 'Proposal Writing', 'Accident And Incident Response Management', 'Continuous Improvement Management', 'Tour And Travel Coordination, Ticketing And Reservations Management', 'Technology Scanning', 'Project Administration', 'Attractions Content And Experience Development And Delivery']"
TGS-2018508140,"['Valuation', 'Creative Thinking', 'Problem Identification', 'Problem Solving', 'Design Thinking Practice', 'Critical Thinking']",[nan]
TGS-2018508152,['Big Data Analytics'],['Data And Statistical Analytics']
TGS-2018508168,"['Project Management', 'Project Plan']",[nan]
TGS-2018508935,['Data Visualisation'],[nan]
TGS-2018508936,['Big Data Analytics'],[nan]
TGS-2018508937,['Valuation'],[nan]
TGS-2018508938,"['Business Analysis Management', 'Customer Acquisition And Relationship Management', 'Customer Loyalty', 'Customer Acquisition Management', 'Customer Relationship Management', 'Fraud Detection And Prevention']",[nan]
TGS-2018508943,"['Business Analysis Management', 'Customer Data Analysis', 'Decision Making', 'Business Insights', 'Big Data Analytics']",[nan]
TGS-2018509078,"['Valuation', 'Programming And Coding', 'Decision Making', 'Big Data Analytics']","[nan, 'Business Data Analysis', 'Market Research', 'Financial Planning And Analysis', 'Sales Target Management', 'Learning And Development', 'Strategy Planning', 'Budgeting', 'Sales Closure', 'Customer Behaviour Analysis', 'Contract Development And Management', 'Customer Loyalty And Retention Strategy Formulation', 'Resource Management', 'Service Excellence', 'Strategy Implementation', 'Proposal Writing', 'Manpower Planning', 'Technology Scanning', 'Stakeholder Management', 'Customer Acquisition Management', 'Succession Planning', 'Demand Analysis', 'Customer Relationship Management', 'Technology Application', 'Corporate Governance', 'Financial Management', 'Business Negotiation', 'Business Performance Management']"
TGS-2018509081,"['Risk Management', 'Risk Management And Administration', 'Risk Assessment', 'Proposal Management', 'Project Plan', 'Project Management', 'Cost Management']","['Business Data Analysis', 'Attractions Guest Relations Management', 'Innovation Management', 'Vendor Management', 'Employee And Labour Relations', 'Learning And Development', 'Infographics And Data Visualisation', 'Strategy Planning', 'Events Planning And Management', 'Marketing Campaign Management', 'Budgeting', 'Systems Thinking Application', 'Media Strategy Development', 'Contract Development And Management', 'Tourism And Economic Development', 'Organisational Vision, Mission And Values Formulation', 'Resource Management', 'Service Excellence', 'Strategy Implementation', 'Productivity Improvement', 'Crowd Control And Planning', 'Stakeholder Management', 'Content Writing And Editing', 'Financial Management', 'Meetings, Incentives, Conferences And Exhibitions (Mice) Equipment Management And Venue Management', 'Technology Application', 'Design Concepts Generation', 'Business Continuity Planning', 'Social Media Management', 'Business Performance Management', 'Risk Management And Administration', 'Market Research', 'Brand Portfolio Management', 'Data Mining And Modelling', 'Project Feasibility Assessment', 'Digital Marketing', 'Project Management', 'E-Commerce Campaign Management', 'Brand Campaign Management', 'Accident And Incident Response Management', 'Continuous Improvement Management', 'Marketing Communications Plan Development', 'Manpower Planning', 'Technology Scanning', 'Succession Planning', 'Project Administration', 'Corporate Governance', 'Brand Guideline Development', 'Media Platforms Management', 'Business Negotiation']"
TGS-2018509083,"['Business Negotiation', 'Conflict Management', 'Ethical And Professional Integrity', 'Communication']","[nan, 'Business Data Analysis', 'Innovation Management', 'Vendor Management', 'Tour And Travel Services Product And Experience Development And Delivery', 'Employee And Labour Relations', 'Learning And Development', 'Strategy Planning', 'Budgeting', 'Customer Behaviour Analysis', 'Contract Development And Management', 'Tourism And Economic Development', 'Customer Loyalty And Retention Strategy Formulation', 'Resource Management', 'Organisational Vision, Mission And Values Formulation', 'Productivity Improvement', 'Change Management', 'Strategy Implementation', 'Service Excellence', 'Stakeholder Management', 'Sponsorship Management', 'Demand Analysis', 'Customer Relationship Management', 'Technology Application', 'Financial Management', 'Business Continuity Planning', 'Business Performance Management', 'Risk Management And Administration', 'Market Research', 'Financial Planning And Analysis', 'Project Feasibility Assessment', 'Sales Closure', 'Product, Content And Experience Performance Management', 'Business Opportunities Development', 'Networking', 'Proposal Writing', 'Continuous Improvement Management', 'Manpower Planning', 'Technology Scanning', 'Customer Acquisition Management', 'Business Planning', 'Succession Planning', 'Project Administration', 'Corporate Governance', 'Business Negotiation', 'Sales Target Management']"
TGS-2018509084,"['Ethical And Professional Integrity', 'Business Planning']","['Business Data Analysis', 'Innovation Management', 'Learning And Development', 'Infographics And Data Visualisation', 'Customer Behaviour Analysis', 'Tourism And Economic Development', 'Organisational Vision, Mission And Values Formulation', 'Resource Management', 'Stakeholder Management', 'Sponsorship Management', 'Content Writing And Editing', 'Customer Relationship Management', 'Meetings, Incentives, Conferences And Exhibitions (Mice) Equipment Management And Venue Management', 'Social Media Management', 'Market Research', 'Brand Portfolio Management', 'Sales Closure', 'Digital Marketing', 'Networking', 'Brand Campaign Management', 'Proposal Writing', 'Accident And Incident Response Management', 'Continuous Improvement Management', 'Marketing Communications Plan Development', 'Manpower Planning', 'Technology Scanning', 'Project Administration', 'Corporate Governance', 'Brand Guideline Development', 'Financial Management', 'Attractions Guest Relations Management', 'Vendor Management', 'Tour And Travel Services Product And Experience Development And Delivery', 'Employee And Labour Relations', 'Strategy Planning', 'Events Planning And Management', 'Marketing Campaign Management', 'Budgeting', 'Systems Thinking Application', 'Media Strategy Development', 'Contract Development And Management', 'Customer Loyalty And Retention Strategy Formulation', 'Service Excellence', 'Change Management', 'Productivity Improvement', 'Strategy Implementation', 'Crowd Control And Planning', 'Demand Analysis', 'Technology Application', 'Design Concepts Generation', 'Business Continuity Planning', 'Business Performance Management', 'Risk Management And Administration', 'Financial Planning And Analysis', 'Data Mining And Modelling', 'Project Feasibility Assessment', 'Product, Content And Experience Performance Management', 'Business Opportunities Development', 'E-Commerce Campaign Management', 'Customer Acquisition Management', 'Succession Planning', 'Business Planning', 'Media Platforms Management', 'Business Negotiation', 'Sales Target Management']"
